"x","y","z","bhd"
108.188,-31.997,2.643,23.1
9.197,11.518,-2.774,23.1
132.137,-51.416,0.971,23.1
102.179,-60.713,-0.631,23
43.565,-19.042,-0.445,23
0.299,16.634,-3.916,23
88.421,-8.503,3.78,23
28.706,22.664,-1.463,22.9
4.526,26.906,-4.396,22.9
12.466,18.606,-3.196,22.8
100.987,-58.888,-0.442,22.8
85.116,-53.598,-0.494,22.8
82.397,-33.418,2.508,22.7
28.302,6.736,-1.18,22.7
66.949,-42.202,-0.363,22.7
20.75,29.673,-2.186,22.7
7.456,63.489,-4.119,22.6
-2.85,21.059,-4.586,22.6
95.146,-56.154,-0.253,22.6
3.625,58.555,-4.823,22.5
107.305,-59.669,-0.172,22.5
39.466,46.52,1.934,22.4
-2.073,82.479,-9.033,22.4
109.46,-51.637,0.8,22.4
79.77,27.545,4.865,22.4
46.289,-22.566,-0.244,22.4
68.695,-24.364,2.31,22.4
44.225,8.307,-0.168,22.4
121.527,-19.154,4.056,22.3
139.198,-41.093,2.222,22.3
55.891,31.477,1.939,22.3
41.934,-31.135,-1.221,22.3
11.224,0.523,-1.707,22.2
146.182,-25.777,3.811,22.2
74.842,-31.669,2.096,22.1
28.915,-17.538,-1.393,22.1
74.599,-35.792,1.441,22.1
4.128,8.868,-2.699,22
131.775,-48.297,1.369,22
112.574,-39.872,1.997,21.9
14.981,-6.538,-1.26,21.9
30.066,-4.597,-0.901,21.8
74.053,18.632,3.125,21.8
96.481,-45.018,1.213,21.8
106.368,-37.549,2.228,21.8
121.349,-48.301,1.158,21.8
1.247,56.572,-5.233,21.8
-7.035,27.609,-5.468,21.7
64.101,-31.716,0.966,21.7
125.296,-34.363,3.111,21.7
32.661,-10.408,-0.972,21.7
22.547,43.159,-1.032,21.7
83.952,-39.387,1.68,21.7
36.599,60.101,0.75,21.7
42.082,-24.192,-0.792,21.7
78.734,18.694,3.756,21.7
86.686,-51.56,0.054,21.7
40.227,56.608,1.944,21.6
8.346,-1.86,-1.689,21.6
51.094,8.477,0.578,21.6
9.76,4.305,-2.125,21.6
67.145,21.577,2.472,21.6
47.409,31.814,1.125,21.6
57.998,35.186,2.382,21.6
21.773,56.821,-1.042,21.5
25.523,-11.66,-1.073,21.5
66.931,3.492,1.918,21.5
48.155,20.127,0.374,21.4
154.002,-15.637,5.106,21.4
34.02,-5.76,-0.75,21.3
35.35,18.68,-0.812,21.3
7.582,-4.294,-1.561,21.3
16.179,20.229,-2.845,21.3
-2.493,47.475,-5.783,21.3
-5.171,39.976,-6.106,21.3
73.931,-45.85,-0.27,21.2
83.246,-23.298,3.512,21.2
-4.525,42.96,-6.168,21.2
5.386,55.685,-4.293,21.1
148.694,-26.748,3.951,21.1
87.953,-17.48,3.499,21.1
127.252,-27.436,3.425,21.1
73.463,27.552,4.17,21
7.482,25.987,-4.127,21
15.845,23.576,-3.034,21
31.437,44.14,0.465,21
140.696,-31.288,3.191,20.9
99.54,-24.569,3.357,20.8
11.312,-11.705,-1.498,20.8
15.762,31.129,-2.803,20.8
14.595,47.599,-2.296,20.7
70.345,-4.572,2.019,20.6
91.943,-52.375,0.176,20.5
42.076,32.465,0.926,20.5
8.788,62.852,-3.936,20.5
43.91,43.111,2.079,20.4
19.724,32.096,-2.169,20.4
62.139,0.635,1.336,20.4
40.434,18.922,-0.322,20.3
96.572,-48.287,1.066,20.3
35.369,38.821,0.742,20.2
61.916,-19.347,1.741,20.2
42.196,40.449,1.643,20.2
98.076,-28.962,2.878,20.2
34.484,57.96,0.768,20.1
12.557,13,-2.712,20.1
56.357,-33.243,-0.171,20.1
80.556,-44.75,0.602,20.1
16.637,10.419,-2.268,20.1
-1.822,80.263,-8.574,20
69.824,32.701,3.799,20
56.351,34.21,2.191,20
28.106,51.77,0.187,19.9
31.574,5.897,-1.022,19.8
112.801,-68.557,-1.454,19.8
33.784,56.936,0.833,19.8
113.901,-63.962,-0.71,19.8
5.539,20.581,-3.826,19.7
27.483,53.57,0.0640000000000001,19.7
112.777,-53.235,0.67,19.7
78.619,-39.745,1.176,19.7
-3.356,22.319,-4.665,19.5
85.316,-14.196,3.441,19.5
45.166,-17.048,-0.28,19.4
47.276,-19.273,-0.0290000000000001,19.4
19.426,36.997,-1.912,19.4
-1.996,41.385,-5.724,19.3
74.856,-11.906,2.869,19.3
27.299,29.911,-1.198,19.2
17.782,37.476,-2.111,19.2
9.851,36.138,-3.699,19.2
102.987,-63.044,-0.949,19.1
72.232,-38.275,0.906,19.1
59.656,-27.268,0.945,19.1
52.725,-12.697,0.571,19
5.827,60.581,-4.448,18.9
141.504,-0.087,6.316,18.9
138.979,-36.324,2.654,18.9
24.498,37.272,-0.774,18.9
0.72173584,82.04918,-8.347,18.8
69.961,-19.546,2.52,18.8
3.838,-4.745,-1.598,18.7
7.321,12.25,-2.971,18.7
41.455,15.041,-0.329,18.7
18.523,70.941,-3.037,18.6
100.838,-13.411,4.267,18.6
30.883,-12.247,-1.145,18.6
73.35,-37.013,1.161,18.6
103.777,-56.736,0.0939999999999999,18.6
12.912,7.428,-2.339,18.4
25.787,13.408,-1.714,18.4
24.287,29.037,-1.775,18.4
66.464,-26.24,1.862,18.3
91.701,-54.026,-0.114,18.3
77.673,-43.793,0.475,18.2
40.209,-0.319,-0.245,18.2
73.356,-44.993,-0.166,18.1
34.435,-9.975,-0.89,18.1
-4.388,57.701,-6.719,18.1
3.061,1.177,-1.709,18.1
35.793,50.564,1.415,18
-8.035,38.977,-6.464,18
-5.222,36.574,-5.994,18
16.533,20.898,-2.806,17.9
31.826,57.91,0.34,17.9
151.547,-5.004,6.141,17.8
82.562,-29.198,3.19,17.8
25.987,47.36,-0.243,17.8
54.287,20.156,0.735,17.8
69.054,18.156,2.43,17.7
0.596,31.735,-5.139,17.6
20.469,-1.185,-1.27,17.6
92.556,-58.801,-0.872,17.6
9.592,60.611,-3.608,17.5
45.998,30.081,0.86,17.5
11.003,-8.242,-1.465,17.5
45.317,-8.099,0.022,17.5
17.099,43.565,-1.822,17.5
-1.701,34.348,-5.47,17.5
22.701,68.419,-2.311,17.5
38.928,-26.196,-1.146,17.4
31.921,12.234,-1.122,17.4
10.216,26.211,-3.825,17.4
29.001,50.27,0.323,17.4
68.038,10.89,1.928,17.4
23.591,33.62,-1.556,17.3
-5.006,55.753,-6.583,17.3
24.274,21.16,-2.126,17.3
40.856,52.413,2.219,17.3
25.288,31.593,-1.411,17.3
-7.749,45.091,-6.846,17.3
6.111,62.446,-4.48,17.2
5.135,27.618,-4.385,17.2
14.18,36.847,-2.757,17.2
51.596,17.343,0.497,17.2
-4.353,55.252,-6.353,17.1
39.214,-14.09,-0.722,17.1
83.154,-12.095,3.448,17.1
16.998,38.589,-2.023,17.1
19.695,30.376,-2.326,17.1
-3.866,14.602,-4.056,17
45.283,51.696,2.564,17
16.897,65.864,-2.622,17
66.215,-28.492,1.549,17
80.981,-48.819,-0.0390000000000001,16.9
45.772,-30.488,-0.701,16.9
27.744,31.026,-1.061,16.9
24.644,15.816,-1.886,16.9
-5.703,12.356,-3.741,16.8
105.358,-18.158,3.938,16.8
42.672,34.992,1.149,16.8
46.467,-17.007,-0.11,16.8
9.002,23.067,-3.815,16.7
43.416,-22.044,-0.553,16.7
31.758,9.007,-1.052,16.6
72.436,20.278,3.066,16.6
42.029,37.331,1.329,16.5
